Class Decade,Date,Daytime/Nightime,Time,Class loc.,Location,Operator,Flight..,Direct/Stopover,Route,AC.Type,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Causes,Summary,Class time
1930s,12/19/1936,Nighttime,20:47,USA,"Near Milford, Pennsylvania",Eastern Air Lines,14,Stopover,Miami - Charleston - Newark,Douglas DC-2-112,NC13732,1258,11,8,3,0,0,0,0,Pilot Error,"Crashed into trees in poor weather while attempting to land at Newark. Error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  Improper dispatching for clearing the flight into an area of predicted bad weather, particularly when the area cleared through did not permit a safe return, and static conditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible.",
1930s,12/27/1936,Nighttime,19:38,USA,"Newhall, California",United Air Lines,34,Stopover,Oakland - San Francisco - Los Angeles,Boeing 247D,NC13355,1737,12,10,2,12,10,2,0,Weather Conditions,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather.",
1930s,01/12/1937,Nighttime,11:07,USA,"Near Newhall, California",Western Air Express,7,Direct,Salt Lake City - Burbank,Boeing 247D,NC13315,1696,13,11,2,5,4,1,0,Weather Conditions,"The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital.",
1930s,02/09/1937,Nighttime,20:50,USA,"Off San Francisco, California",United Air Lines,23,Stopover,Los Angeles - San Francisco - Oakland,Douglas DC-3A,NC16073,1913,11,9,2,11,9,2,0,Pilot Error,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3.",
1930s,03/25/1937,Daytime,18:40,USA,"Clifton, Pennsylvania",Trans Continental and Western Air,15A,Stopover,Newark - Camden - Pittsburg,Douglas DC-2-112,NC13730,1256,13,10,3,13,10,3,0,Weather Conditions,While attempting to land the aircraft banked left and crashed short of the runway. Heavy icing which rendered the plane uncontrollable.,
1930s,05/06/1937,Daytime,19:25,USA,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,LZ 129,Direct,Frankfurt - Lakehurst N.J.,Zeppelin LZ-129,D-LZ-129,D-LZ129,97,36,61,35,13,22,1,Unknow,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were static discharge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a static discharge between the Hindenburg's outer skin and frame causing the hydrogen to ignite.",
1930s,08/10/1937,Daytime,4:40,USA,"Daytona Beach, Florida",Eastern Air Lines,7,Direct,Chicago - Daytona,Douglas DC-2,NC-13739,1289,9,7,2,4,2,2,0,Pilot Error,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.,
1930s,10/17/1937,Nighttime,21:00,USA,"Haydens Peak, Wyoming",United Air Lines,1,Stopover,Newark - Chicago - Cheyenne - Salt Lake City - Los Angeles,Douglas DC-3,NC16074,1914,19,16,3,19,16,3,0,Weather Conditions,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Static conditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front.",
1930s,01/10/1938,Nighttime,15:07,USA,"Bozeman, Montana",Northwest Orient Airlines,2,Stopover,Seattle - Spokane - Butte - Billings - Chicago,Lockheed 14H Super Electra,NC-17388,1407,10,8,2,10,8,2,0,Mechanical Failure,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter ""natural resonance, or period of vibration"" which resulted in the separation of the rudder and fins and loss of control of the aircraft.",
1930s,01/11/1938,Daytime,8:03,USA,"Pago Pago, U.S. Samoa",Pan American World Airways,1,Stopover,Oakland - Honolulu - Kingman Reef - Pago Pago - Auckland,Sikorsky S-42 (flying boat),NC16734,4207,7,0,7,7,0,7,0,Mechanical Failure,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or seven crew members were ever found. The aircraft was named ""Samoan Clipper.""  Pan American's first and chief pilot, Captain Edwin C. Musick, killed.",
1930s,03/01/1938,Nighttime,21:30,USA,"Near Wawona, Cailifornia",Trans Continental and Western Air,8,Direct,"San Francisco - Winslow, AZ,  Burbank, CA",Douglas DC-2-112,NC13789,1299,9,6,3,9,6,3,0,Weather Conditions,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.,
1930s,05/24/1938,Nighttime,22:17,USA,"Cleveland, Ohio",United Air Lines,9,Stopover,Newark - Cleveland - Chicago,Douglas DST-A-207A,NC18108,1956,10,7,3,10,7,3,0,Mechanical Failure,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.,
1930s,07/08/1938,Nighttime,2:56,USA,"Billings, Montana",Northwest Orient Airlines,4,Direct,Seattle - Spokane - Helena - Billings - Fargo,Lockheed 14 Super Electra,NC17383,1402,10,8,2,1,1,0,0,Unknow,"While taking off from Billings, the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers, preventing the levers from going to the full low pitch position. As a result of the stalled condition, the airplane fell off on the right wing and crashed at a point 1,100 feet beyond the NE runway, the pilot having cut the switch just prior to the impact.",
1930s,07/29/1938,Daytime,4:11,USA,Pacific Ocean between Manila and Guam,Pan American World Airways,229,Direct,Alameda - Manila,Martin M-130 (flying boat),NC14714,556,15,6,9,15,6,9,0,Unknow,"The plane crashed into the ocean while en route between Guam and Manilla. The last known position was 12.27 N, 130.40 W or 582 nm east southeast of Manila at 04:00 GCT. Cause unknown. The plane may have been hijacked by the Japanese and flown to Truk Island where the crew and passengers were murdered. The aircraft was named ""Hawaii Clipper.""",
1930s,11/29/1938,Daytime,5:30,USA,"Off Point Reyes, California",United Air Lines,6,Stopover,"Seattle, WA - Medford, OR - Oakland,CA",Douglas DC 3-A-SB-3-G-14,NC16066,1907,7,4,3,5,3,2,0,Pilot Error,"The aircraft ran out of fuel and ditched into the ocean a little less than a mile offshore. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply.",
1930s,01/13/1939,Nighttime,21:15,USA,"Miles City, Montana",Northwest Orient Airlines,1,Direct,Chicago - Seattle,Lockheed 14-H Super Electra,NC17389,1408,4,2,2,4,2,2,0,Unknow,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire.",
1930s,03/26/1939,Daytime,14:48,USA,"Oklahoma City, Oklahoma",Braniff Airlines,1,Stopover,Chicago - Kansas City - Wichita - Oklahoma City - Dallas,Douglas DC-2-112,NC13727,1253,12,9,3,8,7,1,0,Mechanical Failure,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely.",
1940S,08/31/1940,Daytime,14:41,USA,"Near Lovettsville, Virginia",Pennsylvania Central Airlines,19,Direct,Washington D.C. - Detroit,Douglas DC-3,NC21789,2188,25,21,4,25,21,4,0,Weather Conditions,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed.",
1940S,11/04/1940,Nighttime,4:42,USA,"Near Centerville, Utah",United Air Lines,16,Direct,Oakland - Salt Lake City,Douglas DC-3,NC16086,1925,10,8,2,10,8,2,0,ATC,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration.",
1940S,12/04/1940,Daytime,17:48,USA,"Chicago, Illinois",United Air Lines,21,Direct,New York City - Chicago,Douglas DC-3A,NC25678,2175,16,13,3,10,7,3,0,Pilot Error,The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.,
1940S,01/23/1941,Nighttime,4:13,USA,"Near Robertson, Missouri",Trans Continental and Western Air,6,Direct,"Kansas City, MO - New York",Douglas DC-3-3,NC17315,1930,13,10,3,2,1,1,0,Pilot Error,"Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude.",
1940S,02/06/1941,Nighttime,2:00,USA,"Armstrong, ON, Canada",Trans Canada Air Lines,3,Direct,Toronto - Winnipeg,Lockheed 14-H2 Super Electra,CF-TCP,1501,12,9,3,12,9,3,0,Weather Conditions,The plane crashed after the right wing struck a tree as the pilot was attempting to land in adverse weather. Struck several other trees and landed inverted in a swamp.,
1940S,02/26/1941,Daytime,11:50,USA,"Atlanta, Georgia",Eastern Air Lines,21,Stopover,New York City -  Washington D.C. - Atlanta - Brownsville,Douglas DC-3,NC28394,3204,16,13,3,9,6,3,0,Pilot Error,"The aircraft crashed into a hill in pine woods, near Chandler Field, while attempting to make an instrument landing approach in rain and fog. The failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. A substantial contributing factor was the absence of an established uniform cockpit procedure on Eastern Air Lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. Captain Edward Rickenbacker, President of Eastern Air Lines, survived the crash.",
1940S,10/03/1941,Nighttime,17:48,USA,"San Juan, Puerto Rico",Pan American World Airways,203,Direct,Miami - Buenos Aires,Sikorsky S-42B (flying boat),NC15376,4206,15,9,6,2,2,0,0,Pilot Error,"Following the approach, the aircraft contacted the water in an unduly nose-low attitude while moving sideways relative to the water.  Almost immediately after first contact with the water, the aircraft swerved violently to the right and broke into several major sections. The failure of the captain to exercise requisite caution and skill in landing. A contributing factor was the smooth surface of the water, which rendered difficult, the captain's depth perception as well as the exact determination of any lateral movement of the aircraft.",
1940S,10/30/1941,Nighttime,2:04,USA,"Near Moorhead, Minnesota",Northwest Orient Airlines,5,Direct,Minneapolis - Fargo,Douglas DC-3,NC21712,2124,15,13,2,14,13,1,0,Weather Conditions,"Crashed in fog and mist due to icing on the wings. The pilot, Clarence Bates, was thrown clear of the wreckage and was the lone survivor. Accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. Action of the captain in descending to attempt a landing at Fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate.",
1940S,10/30/1941,Nighttime,22:10,USA,"St. Thomas, Ontario, Canada",American Airlines,1,Stopover,New York - Buffalo - Chicago - Detroit,Douglas DC-3,NC25663,2207,20,17,3,20,17,3,0,Unknow,"The aircraft, on a flight from New York to Chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. Cause unknown.",
1940S,05/01/1942,Nighttime,23:00,USA,"Salt Lake City, Utah",United Air Lines,4,Direct,San Francisco - New York City,Douglas DST-A-207A,NC18146,1978,17,14,3,17,14,3,0,Unknow,"After taking off from Salt Lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the Salt Lake City Airport. The point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. A deviation from the proper course, for reasons undetermined.",
1940S,05/12/1942,Daytime,11:51,USA,"Miles City, Montana",Northwest Orient Airlines,1,Direct,Chicago - Seattle,Douglas DC-3-A-269,NC 21714,2129,14,10,4,3,0,3,0,Pilot Error,"The plane hit an obstruction at the end of the runway, overran the runway boundry and crashed. The failure of the captain to complete the landing run in time to avoid the obstruction at the end of the runway, for reasons undetermined, and his action in attempting to take off after striking the obstruction.",
1940S,10/03/1942,Nighttime,19:05,USA,"Botwood, Newfoundland",American Export Airlines,71,Stopover,"New York - Botwood - Foynes, Ireland",Sirkorsky 44A (flying boat),NC41880,4401,37,26,11,11,6,5,0,Mechanical Failure,"While attempting to takeoff, aircraft porpoised, attained a height of 35 ft. and then crashed into the water and broke up. Inadvertent actuation of the wing flaps to the full 35 degrees position during the take-off run, thereby rendering the aircraft excessively nose-heavy and uncontrollable.",
1940S,10/23/1942,Nighttime,17:15,USA,"Palm Springs, California",American Airlines / Military - USAF,28,Direct,Palm Springs - New York City,Douglas DC-3 / Lockheed B-34,NC16017,1555,13,10,3,12,10,2,0,Pilot Error,"Midair collision between an Army bomber and airliner over Chino Canyon near Palm Springs at 9,000 feet destroying the rudder of the DC-3.  All 12 aboard the DC-3 were killed. The Lockheed B-34 landed safely with minor damage. The reckless and irresponsible conduct of the bomber pilot, William Wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. Composer and song writer Ralph Rainger, 41, killed.",
1940S,12/15/1942,Nighttime,1:22,USA,"Fairfield, Utah",Western Airlines,1,Direct,Salt Lake - Las Vegas - Burbank,Douglas DC-3A,NC16060,1900,19,15,4,17,13,4,0,Unknow,"Crashed after performing a violent maneuver.  Failure of the left, or possibly both wing tips and of the horizontal  tail  surfaces as a result of a sever pull-up which caused unusual and  abnormally high air loads. The reason the pull-up maneuver was not determined.",
1940S,01/21/1943,Daytime,7:30,USA,"Ukiah, California",Pan American World Airways,V-1104,Direct,Honolulu - San Francisco,Martin M-130 (flying boat),NC14715,557,19,10,9,19,10,9,0,Pilot Error,"Flew into a 2,500 ft. mountain while circling in bad weather, after being unable to land in darkness and deciding whether to divert to San Diego. Clipped trees, struck the ground and broke up.  Failure of the captain to determine his position accurately before descending to a dangerously low altitude under extremely poor weather conditions during the hours of darkness. The aircraft was named Philippine Clipper.",
1940S,01/22/1943,Daytime,15:15,PERU,"Near Chaparra, Peru",Pan American Grace Airlines,9,Stopover,S Santiago de Chile - Arequipa - Lima,Douglas DC-3A,NC33645,4124,15,11,4,14,10,4,0,Pilot Error,"The aircraft crashed into the Mt. Chaparra in the Andes mountains while en route.  Action of the pilot in continuing the flight on instruments in the overcast, contrary to company flight procedure of which, according to the evidence, the pilot was aware.",
1940S,02/22/1943,Daytime,6:47,Portugal,"Lisbon, Portugal",Pan American World Airways,9035,Stopover,New York - Hamilton - Horta - Lisbon - Marseille,Boeing B-314 (flying boat),NC18603,1990,39,33,6,25,20,5,0,Weather Conditions,"Crashed into the Tagus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured. She later divorced her husband and married the co-pilot, who had saved her life despite his own serious injury, but they too divorced.",
1940S,06/01/1943,Daytime,11:00,France,Off the coast of France,British Overseas Airways,777,Direct,Lisbon - Bristol,Douglas DC-3,G-AGBB,1590,17,13,4,17,13,4,0,Sabotage,"Shot down by the German Air Force over the Bay of Biscay. The last message received from the plane was it was being attacked by an enemy aircraft. The aircraft had a Dutch crew. British actor Leslie Howard, 42, killed. It has been speculated that the plane was attacked because the Germans believed that British Prime Minister Winston Churchill was aboard. Other theories suggest the plane was targeted because several passengers, including Howard, were British spies.",
1940S,07/28/1943,Nighttime,22:43,USA,"Trammel, Kentucky",American Airlines,63,Direct,Cleveland - Memphis,Douglas DC-3,NC16014,1552,22,18,4,20,16,4,0,Weather Conditions,"The aircraft crashed into trees while attempting to land in strong turbulence and violent downdrafts. There was evidence that most of the occupants in the cabin were victims of suffocation or fire, or both, because of their inability to effect an exit from the aircraft. Loss of control of the aircraft due to unusually severe turbulence and violent downdraft caused by a thunderstorm of unknown and unpredictable intensity.",
1940S,10/15/1943,Nighttime,23:17,USA,"Near Centerville, Tennessee",American Airlines,63,Direct,Nashville - Memphis,Douglas DC3-G102,NC16088,1588,15,11,4,15,11,4,0,Weather Conditions,"The aircraft struck the ground nose-first in a vertical attitude while en route and was completely demolished by the impact. Inability of the aircraft to gain or maintain altitude due to carburetor ice, propeller ice or wing ice or some combination of these icing conditions, while over terrain and in weather unsuitable for an emergency landing. Weather conditions which, had their nature been anticipated, should have precluded the dispatch of the flight in an aircraft not equipped with wing or propeller deicing equipment.",
1940S,02/10/1944,Nighttime,23:36,USA,"Memphis, Tennessee",American Airlines,2,Direct,Little Rock - Memphis,Douglas DC-3,NC21767,2166,24,21,3,24,21,3,0,Unknow,"The aircraft crashed into a river and sank ,18 miles southwest of Memphis, in a snowstorm, while en route from Little Rock. Cause undetermined.",
1940S,08/08/1944,Daytime,13:20,CUBA,"Off Antilla, Cuba",Pan American World Airways,218,Stopover,San Juan - Antilla - Miami,Sikorsky S-42 (flying boat),NC823M,4201,31,26,5,17,17,0,0,Pilot Error,"Crashed during the third attempt to lift from the water and sank into the ocean. Loss of control due to the captain's inexperience in handling the particular type of aircraft. The aircraft was named ""Hong Kong Clipper.""",
1940S,11/04/1944,Daytime,17:15,USA,"Hanford, California",Trans Continental and Western Air,8,Direct,San Francisco - New York City,Douglas DC-3,NC28310,2251,24,21,3,24,21,3,0,Unknow,"The wing separated from the aircraft after entering a thunderstorm and encountering severe turbulence. The failure of the airplane's structure as a result of severe turbulence, an important contributing cause was the fact that the airplane was undoubtedly in an abnormal attitude of flight,  i.e., inverted, at the instant of structural failure. The cause of the airplane becoming inverted was not determined.",
1940S,12/01/1944,Nighttime,0:54,USA,"Van Nuys, California",Trans Continental and Western Air,13,Stopover,San Francisco - Burbank - New York City,Douglas DC-3,NC17322,1965,17,14,3,9,6,3,0,Human Error,The plane crashed and burned 6.5 miles west northwest of the Bubank Airport in dense fog. The pilot's deviation from the standard instrument approach procedure and descent below the established safe minimum altitude. A contributing factor was the company's failure to enforce adherence to company procedures.,
1940S,01/10/1945,Nighttime,4:10,USA,"Burbank, California",American Airlines,6001,Stopover,"New York City - Juarez, Mexico - Burbank",Douglas DC-3,NC25684,2215,24,21,3,24,21,3,0,ATC,"The aircraft, lost in fog, crashed into the Verdugo Mountains,  while attempting to reach Palmdale Airport, its alternate landing site, after being unable to land at Burbank Airport. The company ground personnel failed to obtain and transmit important weather to the pilot. Improperly executed missed approach by the pilot. Actress Donna Reed was returning from Juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass.",
1940S,02/23/1945,Nighttime,2:25,USA,"Marion, Virginia",American Airlines,9,Direct,New York City - Los Angeles,Douglas DC-3,NC18142,2138,22,19,3,17,15,2,0,Pilot Error,"The aircraft flew into the summit of Glade mountain at 3,900 ft., in heavy rain and turbulence  while en route. The pilot's failure to properly  plan the flight and remain at a safe instrument altitude under existing conditions. A contributing cause of the accident was the company's laxity in dispatching and supervising the flight.",
1940S,04/14/1945,Daytime,16:58,USA,"Morgantown, West Virginia",Pennsylvania Central Airlines,142,Direct,Pittsburgh - Morgantown,Douglas DC-3,NC25692,2262,20,17,3,20,17,3,0,Pilot Error,"The aircraft crashed against the slope of Cheat Mountain at 2,100 ft., 7 miles east northeast of Morgantown. The action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude.",
1940S,07/12/1945,Daytime,14:36,USA,"Near Florence, South Carolina",Eastern Air Lines / Military - U.S. Army Air Corps,45,Direct,Boston - NY - Washington DC - Jacksonville - Miami,Douglas DC-3-201C /  Army A-26,NC25647,2235,10,4,6,3,1,2,0,Pilot Error,"After deviating off course 8 miles to avoid military traffic, the two planes collided at 3,000 ft. The commercial pilot landed the plane in a corn field.  Two occupants of the A-26 (33-35553) were killed and one parachuted safely. One infant was killed on the DC-3.  Lack of vigilance on the part  of the pilots of both aircraft, resulting in the failure of each pilot to see the other aircraft in time to  avoid a collision.",
1940S,08/03/1945,Daytime,10:11,USA,"Fort de France, Martinique",Pan American World Airways,216,Direct,Port of Spain - Fort de France,Sikorsky S-43 (flying boat),NC15066,4306,14,10,4,4,4,0,0,Pilot Error,The aircraft crashed while landing at Fort de France. The plane sank and 4 passengers drowned. The attempt by the pilot to land the aircraft in conditions of water surface not suitable for landing of a flying boat.,
1940S,09/07/1945,Nighttime,2:13,Martinique,"Florence, South Carolina",Eastern Air Lines,42,Direct,Miami - New York City,Douglas DC-3,NC33631,4137,22,19,3,22,19,3,0,Mechanical Failure,"Fire was discovered on board the aircraft after having passed Florence. The fire originated in the general area of the right side of the rear cargo compartment and lavatory. The aircraft descended to a lower altitude while returning to Florence, struck two large  trees and crashed.  A fire of undetermined origin in the rear cargo compartment or lavatory which resulted in the inability of the pilot to maintain altitude long enough to effect an emergency landing.",
